id,category,module,file,symbol,line,aggregateTypes,bypassType,tenantScoped,justification,owner,expiryDate,removalIssue,disposition
1,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,taskManagement_tool,600,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
2,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,projectManagement_tool,805,Project,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
3,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,pauseAgent_tool,906,Agent,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
4,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,resumeAgent_tool,939,Agent,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
5,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,updateDepartment_tool,1025,Department,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
6,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,deactivateDepartment_tool,1048,Department,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
7,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,deleteDepartment_tool,1072,Department,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
8,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,setDepartmentHead_tool,1099,Department,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
9,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,removeDepartmentHead_tool,1122,Department,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
10,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,updateAgent_tool,1176,Agent,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
11,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,archiveAgent_tool,1199,Agent,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
12,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,moveAgent_tool,1226,Agent,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
13,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,createAgents_tool,1268,Agent,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
14,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,bulkAssignAgents_tool,1291,Agent,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
15,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,updateProject_tool,1368,Project,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
16,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,archiveProject_tool,1391,Project,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
17,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,deleteProject_tool,1414,Project,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
18,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,cloneProject_tool,1437,Project,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
19,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,updateTask_tool,1490,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
20,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,deleteTask_tool,1511,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
21,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,assignTask_tool,1535,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
22,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,unassignTask_tool,1558,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
23,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,completeTask_tool,1581,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
24,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,startTask_tool,1604,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
25,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,resetTask_tool,1627,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
26,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,setTaskPriority_tool,1650,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
27,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,createSubtask_tool,1673,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
28,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,bulkAssignTasks_tool,1763,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
29,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,bulkUpdateTasks_tool,1786,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
30,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,cloneTask_tool,1809,Task,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
31,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,approveApproval_tool,1864,ApprovalRequest,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
32,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,rejectApproval_tool,1883,ApprovalRequest,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
33,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,requestApproval_tool,1927,ApprovalRequest,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
34,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,resetApproval_tool,1962,ApprovalRequest,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
35,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,cancelApproval_tool,1981,ApprovalRequest,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
36,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,createGovernanceRule_tool,2070,GovernanceRule,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
37,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,updateTenant_tool,2126,Tenant,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
38,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,markNotificationRead_tool,2178,Notification,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
39,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,bulkApprove_tool,2323,ApprovalRequest,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
40,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,createCustomer_tool,2458,Customer,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
41,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,updateCustomer_tool,2558,Customer,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
42,DIRECT_PRISMA,tools,src/modules/tools/built-in/neurecore-tools.ts,deactivateCustomer_tool,2819,Customer,LEGACY_TOOL_BYPASS,COPY_FROM_CONTEXT,Initial tool implementation before command pattern was required,NONE,,,golden_path_blocker
